,created_at,screen_name,text,converted_time,compound,neg,pos,neu
55,Sun Dec 10 16:01:27 +0000 2017,nytimes,@lucasgrindley We lost that challenge. Sorry about the error. Thanks for catching it! https://t.co/sZeNajXoe4,2017-12-10 16:01:27+00:00,-0.3382,0.333,0.212,0.455
54,Sun Dec 10 16:14:28 +0000 2017,nytimes,RT @EricLiptonNYT: There's widespread evidence that the Trump admin has been rolling back federal regulations. How about enforcement target…,2017-12-10 16:14:28+00:00,0.0,0.0,0.0,1.0
53,Sun Dec 10 16:15:07 +0000 2017,nytimes,Rising incomes allow China’s retirees to enjoy a retirement that would have been unthinkable for their parents https://t.co/w4gBshsfmM,2017-12-10 16:15:07+00:00,0.6249,0.0,0.254,0.746
52,Sun Dec 10 16:30:08 +0000 2017,nytimes,Thousands of protesters chanted slogans against Trump’s decision to recognize Jerusalem as the capital of Israel https://t.co/icMzSfgJ0k,2017-12-10 16:30:08+00:00,-0.2263,0.106,0.0,0.894
51,Sun Dec 10 16:45:05 +0000 2017,nytimes,President Trump called for a Washington Post reporter to be fired over a misleading tweet https://t.co/60rquXrO18,2017-12-10 16:45:05+00:00,-0.743,0.344,0.0,0.656
50,Sun Dec 10 17:00:21 +0000 2017,nytimes,"“They gave me 50/50, but we’ve changed it to 51/49, so that I have the upper hand."" https://t.co/WpJn4eejKV https://t.co/VZqrtaXUDY",2017-12-10 17:00:21+00:00,0.0,0.0,0.0,1.0
49,Sun Dec 10 17:02:48 +0000 2017,nytimes,We’re interested in hearing from parents whose children faced a serious illness. We invite you to share your experi… https://t.co/U9UaNOtkNf,2017-12-10 17:02:48+00:00,0.3612,0.163,0.265,0.571
48,Sun Dec 10 17:15:15 +0000 2017,nytimes,Opinion: It's been brutal for anyone who believes America’s public lands are best left in their natural state https://t.co/LzyFFs4u9h,2017-12-10 17:15:15+00:00,0.3818,0.153,0.25,0.597
47,Sun Dec 10 17:30:11 +0000 2017,nytimes,"Senator Richard Shelby, a fixture of Republican politics in Alabama, said on national television that the party cou… https://t.co/zJePeEuBgO",2017-12-10 17:30:11+00:00,0.4019,0.0,0.137,0.863
46,Sun Dec 10 17:45:10 +0000 2017,nytimes,At center stage of what looked like a Nine Inch Nails concert was Taylor Swift https://t.co/ByBFKKZWg1,2017-12-10 17:45:10+00:00,0.5106,0.0,0.249,0.751
45,Sun Dec 10 18:00:17 +0000 2017,nytimes,"How to know if an app is appropriate for children, or even educational https://t.co/4LqtR4iPFg",2017-12-10 18:00:17+00:00,0.0,0.0,0.0,1.0
44,Sun Dec 10 18:15:05 +0000 2017,nytimes,"In an improbable turn of events, the sound of silence went viral https://t.co/oLYdOmma20",2017-12-10 18:15:05+00:00,0.0,0.0,0.0,1.0
43,Sun Dec 10 18:30:10 +0000 2017,nytimes,Watch: Ashley Iorio and David Sands met at the United States Naval Academy and were wed on Veterans Day #Daily360… https://t.co/zsM8BN4HxV,2017-12-10 18:30:10+00:00,0.4215,0.0,0.123,0.877
