,created_at,screen_name,text,converted_time,compound,neg,pos,neu
64,Sun Dec 10 22:09:50 +0000 2017,FoxNews,Rutgers announces punishment for professor accused of making anti-Semitic remarks https://t.co/DEfcQtRVpG,2017-12-10 22:09:50+00:00,-0.6597,0.375,0.0,0.625
63,Sun Dec 10 22:17:03 +0000 2017,FoxNews,"Presidents @BillClinton, George W. Bush, and @BarackObama all declared Jerusalem the capital of Israel. https://t.co/Ah7klpcFFy",2017-12-10 22:17:03+00:00,0.0,0.0,0.0,1.0
62,Sun Dec 10 22:21:16 +0000 2017,FoxNews,Do you agree with @JudgeJeanine? https://t.co/gllDDJWVLK https://t.co/n5U8fvV8OP,2017-12-10 22:21:16+00:00,0.3612,0.0,0.294,0.706
61,Sun Dec 10 22:27:52 +0000 2017,FoxNews,"Catholic priest tells black family he was 'blinded by hate,' apologizes for burning cross 40 years ago on their law… https://t.co/yYp2wOXPum",2017-12-10 22:27:52+00:00,0.3612,0.0,0.111,0.889
60,Sun Dec 10 22:28:43 +0000 2017,FoxNews,".@HeyTammyBruce: ""Since [@POTUS] was elected, 2.2 million jobs were created... We want that to continue."" https://t.co/lLHFVOxS3I",2017-12-10 22:28:43+00:00,0.0772,0.0,0.08,0.92
59,Sun Dec 10 22:30:02 +0000 2017,FoxNews,"Mike Eruzione, 1980 U.S. Men's Hockey Captain: ""[@POTUS] is somebody that you should respect. Whether you agree or… https://t.co/PsJTcCcjON",2017-12-10 22:30:02+00:00,0.6808,0.0,0.248,0.752
58,Sun Dec 10 22:36:02 +0000 2017,FoxNews,".@PressSec: ""It's laughable that President Obama thinks he has anything to do with the success of where the economy… https://t.co/0kFm8uaokf",2017-12-10 22:36:02+00:00,0.5994,0.0,0.214,0.786
57,Sun Dec 10 22:37:34 +0000 2017,FoxNews,Netanyahu slams Turkey's Erdogan for claiming Israel is 'terrorist state' that 'kills children' https://t.co/GH4kgtHMOX,2017-12-10 22:37:34+00:00,-0.8481,0.406,0.0,0.594
56,Sun Dec 10 22:39:26 +0000 2017,FoxNews,RT @EricShawnTV: I anchor at 6pm ET @FoxNews: The @POTUS @realDonaldTrump Peace plan for #Israel and the #Palestinians. Can he succeed? Her…,2017-12-10 22:39:26+00:00,0.7717,0.0,0.261,0.739
55,Sun Dec 10 22:40:07 +0000 2017,FoxNews,"Haley: Trump's Jerusalem decision will 'fastball' peace, stop Israel 'bashing' https://t.co/xvsPJ0HS4D",2017-12-10 22:40:07+00:00,0.3182,0.15,0.238,0.612
54,Sun Dec 10 22:40:26 +0000 2017,FoxNews,'Nancy Pelosi Is a Stooge': Bossie Reacts After House Minority Leader Criticizes Trump https://t.co/mIR88peLdE,2017-12-10 22:40:26+00:00,-0.34,0.167,0.0,0.833
53,Sun Dec 10 22:42:05 +0000 2017,FoxNews,Do you agree with @JudgeJeanine? https://t.co/gllDDJFkna https://t.co/eCZmbrOiET,2017-12-10 22:42:05+00:00,0.3612,0.0,0.294,0.706
52,Sun Dec 10 22:45:26 +0000 2017,FoxNews,".@GOPLeader: ""I have never watched a President so engaged... He wants to keep his promise to create more jobs and m… https://t.co/RU4nIm3bbK",2017-12-10 22:45:26+00:00,0.5267,0.0,0.188,0.812
51,Sun Dec 10 22:46:37 +0000 2017,FoxNews,#ALSen Poll Average: Moore leads Jones 49.1% to 45.3%. https://t.co/1EIM8OFjvy,2017-12-10 22:46:37+00:00,0.0,0.0,0.0,1.0
50,Sun Dec 10 22:50:34 +0000 2017,FoxNews,"Intruder shot in Pennsylvania home invasion attempt was homeowner's relative, police say https://t.co/GLQCZ1cKBV",2017-12-10 22:50:34+00:00,0.0,0.0,0.0,1.0
49,Sun Dec 10 22:51:04 +0000 2017,FoxNews,".@JudgeJeanine: ""There have been times in our history where corruption and lawlessness were so pervasive, that exam… https://t.co/ch5iDTkxxW",2017-12-10 22:51:04+00:00,0.0,0.0,0.0,1.0
48,Sun Dec 10 22:56:03 +0000 2017,FoxNews,"At his rally Friday in Florida, @POTUS reiterated his hard-line stance on immigration. https://t.co/23mOEFXJ7a https://t.co/lTWYHgjgJS",2017-12-10 22:56:03+00:00,0.0,0.0,0.0,1.0
47,Sun Dec 10 23:02:01 +0000 2017,FoxNews,Pelosi suggests Trump early days in office like neophyte performing 'brain surgery' https://t.co/fjDqHcSYw7,2017-12-10 23:02:01+00:00,0.3612,0.0,0.172,0.828
46,Sun Dec 10 23:07:03 +0000 2017,FoxNews,TONIGHT: Brian @Kilmeade Goes Inside the Life and Legacy of Andrew Jackson - Tune in at 8p &amp; 11p ET on Fox News Cha… https://t.co/vK2B5y9nBz,2017-12-10 23:07:03+00:00,0.0,0.0,0.0,1.0
45,Sun Dec 10 23:11:03 +0000 2017,FoxNews,"North Korea is hacking bitcoin exchanges as currency value soars, expert says https://t.co/jBDuJAYBjG",2017-12-10 23:11:03+00:00,0.34,0.0,0.167,0.833
44,Sun Dec 10 23:16:01 +0000 2017,FoxNews,Roy Moore denies misconduct allegations in new interview: 'I did not date underaged women' https://t.co/QiGmosf6eG,2017-12-10 23:16:01+00:00,-0.4215,0.167,0.0,0.833
43,Sun Dec 10 23:34:08 +0000 2017,FoxNews,'Stain on America!' @realDonaldTrump denounces 'Fake News Media' after string of major reporting errors exposed https://t.co/lcX2qh2WuV,2017-12-10 23:34:08+00:00,-0.8398,0.454,0.0,0.546
42,Sun Dec 10 23:35:48 +0000 2017,FoxNews,"Hundreds of homes destroyed in California wildfires, @WillCarrFNC reports. @ANHQDC https://t.co/D1aSjJ5SWz https://t.co/a4a42SHdGy",2017-12-10 23:35:48+00:00,-0.4939,0.225,0.0,0.775
41,Sun Dec 10 23:46:50 +0000 2017,FoxNews,".@RepDougCollins on @HillaryClinton investigation: ""[Clinton] has been around this town, she was not unaware of wha… https://t.co/q8jgNevL4t",2017-12-10 23:46:50+00:00,0.1511,0.0,0.09,0.91
40,Sun Dec 10 23:56:34 +0000 2017,FoxNews,"Jonathan Wachtel on @POTUS' Israel decision: ""President #Trump isn't the only US president to have taken a bold ste… https://t.co/I6XgbQOMkr",2017-12-10 23:56:34+00:00,0.3818,0.0,0.126,0.874
39,Sun Dec 10 23:58:40 +0000 2017,FoxNews,"Jonathan Wachtel on @POTUS' Israel decision: ""Look at that speech word by word and you will see plenty of room in t… https://t.co/HA7laZSQVo",2017-12-10 23:58:40+00:00,0.0,0.0,0.0,1.0
38,Mon Dec 11 00:10:21 +0000 2017,FoxNews,"Jonathan Wachtel on @POTUS' Israel decision: ""Of course there's a lot of concern in the world about where all this… https://t.co/U68BNEXiW2",2017-12-11 00:10:21+00:00,0.0,0.0,0.0,1.0
37,Mon Dec 11 00:14:39 +0000 2017,FoxNews,"OPINION: Obama still doesn’t get it – optimism, not whining, grows an economy https://t.co/wvdPYwYMLp",2017-12-11 00:14:39+00:00,0.6329,0.0,0.32,0.68
36,Mon Dec 11 00:21:55 +0000 2017,FoxNews,OPINION: North Korea won't start a war - @realDonaldTrump shouldn't launch an attack https://t.co/PkqBVrsoDj,2017-12-11 00:21:55+00:00,0.6908,0.0,0.363,0.637
35,Mon Dec 11 00:26:43 +0000 2017,FoxNews,"Woman who looked at eclipse suffered crescent-shaped eye damage, study shows https://t.co/OHsZnVVkmv",2017-12-11 00:26:43+00:00,-0.7506,0.39,0.0,0.61
34,Mon Dec 11 00:33:54 +0000 2017,FoxNews,RT @EricShawnTV: Not just Russia: A new call tonight for a 2nd Independent Counsel to investigate the #Obama Justice Department's handling…,2017-12-11 00:33:54+00:00,0.5267,0.0,0.159,0.841
33,Mon Dec 11 00:38:23 +0000 2017,FoxNews,Rep. King: Worst Thing Trump Could Do Is Remove Mueller https://t.co/PkH1lj73CG,2017-12-11 00:38:23+00:00,-0.6249,0.291,0.0,0.709
32,Mon Dec 11 00:45:50 +0000 2017,FoxNews,'Coco' wins the box office again as theaters prepare for 'Star Wars: The Last Jedi' https://t.co/17yNivHLb7,2017-12-11 00:45:50+00:00,0.0258,0.169,0.174,0.657
31,Mon Dec 11 00:59:58 +0000 2017,FoxNews,Pence responds to Abbas snub over Jerusalem decision https://t.co/qinBMGmKac,2017-12-11 00:59:58+00:00,-0.4215,0.259,0.0,0.741
30,Mon Dec 11 01:00:04 +0000 2017,FoxNews,RIGHT NOW: Brian @Kilmeade Goes Inside the Life and Legacy of Andrew Jackson - Tune in at 8p &amp; 11p ET on Fox News C… https://t.co/xzmRjuuV8G,2017-12-11 01:00:04+00:00,0.0,0.0,0.0,1.0
29,Mon Dec 11 01:06:39 +0000 2017,FoxNews,"Armie Hammer apologizes for comments about Casey Affleck, sexual assault https://t.co/YsRDA3MtYl",2017-12-11 01:06:39+00:00,-0.3182,0.248,0.163,0.588
28,Mon Dec 11 01:10:23 +0000 2017,FoxNews,Goodell surprises terminally ill NY volunteer firefighter with Super Bowl tickets https://t.co/2VxzZSbKx0,2017-12-11 01:10:23+00:00,0.4588,0.159,0.33,0.511
27,Mon Dec 11 01:20:48 +0000 2017,FoxNews,Mike Huckabee: Chelsea Handler's 'Vicious Attacks' Are Beginning to Backfire https://t.co/8aVWEi3DuZ,2017-12-11 01:20:48+00:00,-0.6597,0.375,0.0,0.625
26,Mon Dec 11 01:35:35 +0000 2017,FoxNews,"Democratic campaign flyer compares Roy Moore to George Wallace, says he supports segregation https://t.co/7ewJ1ob2gm",2017-12-11 01:35:35+00:00,0.3612,0.0,0.161,0.839
25,Mon Dec 11 01:45:28 +0000 2017,FoxNews,Jerry Brown: Trump doesn't fear 'the wrath of God' https://t.co/Vf4DSUpfZl,2017-12-11 01:45:28+00:00,0.5759,0.0,0.371,0.629
24,Mon Dec 11 01:52:56 +0000 2017,FoxNews,"Tigertown: Morris, Trammell elected to baseball Hall of Fame https://t.co/k4oeC4B79M",2017-12-11 01:52:56+00:00,0.4404,0.0,0.244,0.756
23,Mon Dec 11 02:18:18 +0000 2017,FoxNews,".@SteveHiltonx: ""Republicans are wrong to claim that their tax bill will raise incomes as well. They don't seem to… https://t.co/CN9RDW4k0n",2017-12-11 02:18:18+00:00,-0.25,0.134,0.091,0.776
22,Mon Dec 11 02:20:08 +0000 2017,FoxNews,".@guypbensonon GOP tax plan: ""While it may not raise wages, it will allow people to keep more of their own money ra… https://t.co/yoUxI14PNk",2017-12-11 02:20:08+00:00,0.2263,0.0,0.079,0.921
21,Mon Dec 11 02:25:08 +0000 2017,FoxNews,".@TomiLahren on GOP tax plan: ""It's sending the message that we're gonna do something in Washington DC."" @NextRevFNC https://t.co/uS0aX04DRO",2017-12-11 02:25:08+00:00,0.0,0.0,0.0,1.0
20,Mon Dec 11 02:28:48 +0000 2017,FoxNews,".@guypbenson: ""It is exhausting to have politics shoved down my throat in every corner of American life all the tim… https://t.co/owx7gcPw9E",2017-12-11 02:28:48+00:00,-0.3612,0.111,0.0,0.889
19,Mon Dec 11 02:33:12 +0000 2017,FoxNews,".@TomiLahren on @chelseahandler: ""She doesn't realize it, but she's @realDonaldTrump. She goes on Twitter, says som… https://t.co/3rNlCJDgSM",2017-12-11 02:33:12+00:00,0.0,0.0,0.0,1.0
18,Mon Dec 11 02:35:57 +0000 2017,FoxNews,".@CLewandowski_ on @POTUS' Israel decision: ""There are 12 presidents preceding him that pledged to do what he did,… https://t.co/UmkaVWtpWr",2017-12-11 02:35:57+00:00,0.0,0.0,0.0,1.0
17,Mon Dec 11 02:39:22 +0000 2017,FoxNews,".@CLewandowski_: ""@POTUS' base is stronger and more visceral today than it was on Election Day a year ago.""… https://t.co/ASOdnpzel3",2017-12-11 02:39:22+00:00,0.3818,0.0,0.133,0.867
