,created_at,screen_name,text,converted_time,compound,neg,pos,neu
34,Sun Dec 10 20:45:14 +0000 2017,CNN,Republican Sen. Susan Collins says she's not sure if she'll support the tax reform plan https://t.co/5YSNF3fLne https://t.co/tnM55Uu9G2,2017-12-10 20:45:14+00:00,0.1872,0.1,0.137,0.763
33,Sun Dec 10 21:00:42 +0000 2017,CNN,"""It's not at all a surprise that they (Russians) would make outreach to people they thought would have influence in… https://t.co/24yiPExN9C",2017-12-10 21:00:42+00:00,0.0736,0.083,0.096,0.821
32,Sun Dec 10 21:15:06 +0000 2017,CNN,The winners of the 2017 Nobel Peace Prize warn that nuclear destruction is 'one impulsive tantrum away'… https://t.co/xzz1xLGCSw,2017-12-10 21:15:06+00:00,0.4588,0.265,0.332,0.403
31,Sun Dec 10 21:30:06 +0000 2017,CNN,"""We should all be willing to listen to"" women who speak up about inappropriate sexual behavior, including President… https://t.co/BtPynSIb5U",2017-12-10 21:30:06+00:00,0.0,0.0,0.0,1.0
30,Sun Dec 10 21:45:11 +0000 2017,CNN,Interior Secretary Ryan Zinke is pushing for a controversial road through a federally protected wilderness area in… https://t.co/pDolVX4lDn,2017-12-10 21:45:11+00:00,0.2732,0.096,0.155,0.749
29,Sun Dec 10 22:00:20 +0000 2017,CNN,"Even with Congress in session, all eyes will be on Alabama on Tuesday https://t.co/Qa1pMjzwfv https://t.co/PjNhNKkHcH",2017-12-10 22:00:20+00:00,0.0,0.0,0.0,1.0
28,Sun Dec 10 22:15:09 +0000 2017,CNN,"UN chief says ""America First"" slogan is ""detrimental to American interests"" https://t.co/Fdmv3o9TUT https://t.co/T3Z51xTtC2",2017-12-10 22:15:09+00:00,0.25,0.0,0.143,0.857
27,Sun Dec 10 22:30:10 +0000 2017,CNN,"Vice President Mike Pence and Palestinian Authority President Mahmoud Abbas won't meet, vice president's office con… https://t.co/Tx9YkRLoca",2017-12-10 22:30:10+00:00,0.0772,0.0,0.075,0.925
26,Sun Dec 10 22:45:07 +0000 2017,CNN,McLaren's 'most extreme' road car costs $1 million https://t.co/5CwE92eNfD https://t.co/GrQmRbIrMg,2017-12-10 22:45:07+00:00,0.0,0.0,0.0,1.0
25,Sun Dec 10 23:00:07 +0000 2017,CNN,FBI email shows Attorney General Jeff Sessions wasn't required to disclose foreign contacts for security clearance… https://t.co/RWekrGKgQJ,2017-12-10 23:00:07+00:00,0.34,0.0,0.13,0.87
24,Sun Dec 10 23:15:08 +0000 2017,CNN,"Israel airstrikes, Gaza rockets amid tensions over Jerusalem https://t.co/8zRuyw7PO4 https://t.co/P47G7huOe0",2017-12-10 23:15:08+00:00,-0.4019,0.231,0.0,0.769
23,Sun Dec 10 23:30:43 +0000 2017,CNN,President Trump spoke at the opening of the Mississippi Civil Rights Museum. Some civil rights and community leader… https://t.co/sX8XMVX9k3,2017-12-10 23:30:43+00:00,0.0,0.0,0.0,1.0
22,Sun Dec 10 23:46:37 +0000 2017,CNN,"“We're not looking for perfection, we're just looking for better than yesterday."" After rehab changed his life, Aar… https://t.co/fVpZmBWzqm",2017-12-10 23:46:37+00:00,-0.0253,0.131,0.127,0.742
21,Mon Dec 11 00:00:41 +0000 2017,CNN,The rise of a ‘fish mafia’ in this small Mexican town is killing off an entire population of small porpoises.… https://t.co/W0tTmNUogp,2017-12-11 00:00:41+00:00,-0.6597,0.188,0.0,0.812
20,Mon Dec 11 00:15:05 +0000 2017,CNN,Sirius XM faces celebrity backlash after former White House Chief Strategist Steve Bannon rejoins radio show… https://t.co/HLJZVwW78o,2017-12-11 00:15:05+00:00,0.0,0.0,0.0,1.0
19,Mon Dec 11 00:30:08 +0000 2017,CNN,"During an appearance on a conspiracy-driven radio show in 2011, Alabama Senate candidate Roy Moore said getting rid… https://t.co/B4cZRMxXO6",2017-12-11 00:30:08+00:00,0.0,0.0,0.0,1.0
18,Mon Dec 11 00:45:05 +0000 2017,CNN,Israeli army destroys tunnel from Gaza https://t.co/emKGf8IPZW https://t.co/OHXDWt8Vtc,2017-12-11 00:45:05+00:00,-0.5574,0.34,0.0,0.66
17,Mon Dec 11 01:21:13 +0000 2017,CNN,"Global arms sales increased for the first time in five years in 2016, a new report says https://t.co/K6yTDlfed9 https://t.co/i4cYJ3hftu",2017-12-11 01:21:13+00:00,0.2732,0.0,0.11,0.89
16,Mon Dec 11 01:30:14 +0000 2017,CNN,"17 million infants around the world are breathing toxic air that can severely affect brain development, a new UNICE… https://t.co/17hus7Dff3",2017-12-11 01:30:14+00:00,-0.4588,0.143,0.0,0.857
15,Mon Dec 11 01:51:58 +0000 2017,CNN,The Chicago Board Options Exchange on Sunday began trading bitcoin futures -- a new step for the cryptocurrency… https://t.co/ioVnnfy3wf,2017-12-11 01:51:58+00:00,0.0,0.0,0.0,1.0
14,Mon Dec 11 02:00:23 +0000 2017,CNN,He was shot and killed by Chicago police in 2014. But that’s just the beginning of this story. #BeneathTheSkin… https://t.co/5v9LwaIdhK,2017-12-11 02:00:23+00:00,-0.6705,0.191,0.0,0.809
13,Mon Dec 11 02:14:06 +0000 2017,CNN,A Hong Kong resident shares his tips for street photography so your images will look like a pro snapped them… https://t.co/5WoufYP4mX,2017-12-11 02:14:06+00:00,0.5719,0.0,0.217,0.783
12,Mon Dec 11 02:17:37 +0000 2017,CNN,"Turkish President Recep Tayyip Erdogan called Israel a ""terrorist"" and ""child-murderer state"" as he criticized US P… https://t.co/BKnHlFnpqF",2017-12-11 02:17:37+00:00,-0.3612,0.135,0.0,0.865
